type,line,original,modern,english,id,title,description
line,24,lauer ʒynny ov map wek,"lavar dhyn ni, ow mab hweg?","Tell to us, my sweet son?",,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus,MERIASEK,,,
line,25,A das ha mam ov megyans,"A das ha mamm, ow megyans","O father and mother, my delight",,,
line,26,yv bos gorrys ʒe ʒyskans,"yw bos gorrys dhe dhyskans,","Is to be put to learning,",,,
line,27,rag attendie an scryptur,rag attendya an Skryptor.,To attend [understand] the Scripture.,,,
line,28,gothvos ynweth decernya,Godhvos ynwedh dissernya,Knowledge likewise to discern,,,
line,29,omma ynter drok ha da,omma ynter drog ha da,Here between evil and good,,,
line,30,yv ov ewnadow pup vr,yw ow yeunadow pub eur.,Is my desire always.,,,
blank,,,,,,,
speaker,,PATER 31,Pater,FATHER,,,
line,31,Beneth du ʒys meryasek,"Bennath Dyw dhis, Meryasek!","God's blessing to thee, Meriasek!",,,
line,32,pup vr ty yw colonnek,"Pub eur ty yw kolonnek,","Always thou art hearty,",,,
line,33,parys rag dysky dader,parys rag dyski dader.,Ready to learn goodness.,,,
line,34,meseger scon alemma,"Messejer, skon alemma","Messenger, forthwith hence",,,
line,35,kegy gans ov mab kerra,ke jy gans ow mab kerra,Go thou with my dearest son,,,
line,36,bys yn mester a grammer,bys yn mester a ramer.,Unto the master of grammar.,,,
blank,,,,,,,
speaker,,PRIMUS NUNCIUS 37,Primus nuncius,FIRST MESSENGER,,,
line,37,Arlud ʒe voth a vyth gvrys,"Arloedh, dha vodh a vydh gwrys.","Lord, thy will shall be done.",,,
line,38,my a wor pur wyre yn ta,My a woer pur wir yn ta,I know right truly well,,,
line,39,py ma an mester trygis,"py ma an mester trygys,","Where the master is dwelling,",,,
line,40,hag yʒyv marthys densa,hag yth yw marthys densa,And he is wondrous kind [a wondrous good man],,,
line,41,sur worth flehys,sur worth fleghes.,Surely to children.,,,
line,42,meryasek pan vynnogh why,"Meryasek, pan vynnowgh hwi","Meriasek, when you wish",,,
line,43,an forth dalleth yredy,an fordh dalleth yredi,The way readily begin,,,
line,44,ny a vyn ha pur vskys,"ny a vynn, ha pur uskis.","We will, and right quickly.",,,
blank,,,,,,,
speaker,,MERIADOCUS 45,Meriadocus,MERIASEK,,,
line,45,A das ha mam kekyfrys,A das ha mamm kekeffrys,O father and mother also,,,
line,46,pesef agis bannothow,pysav agas bennathow,I beseech your blessings,,,
line,47,maym beua the well grays,may'm bena dhe well gras,That I may live made [have grace] the better,,,
line,48,benyʒa yn ov dyʒyow,bynytha yn ow dydhyow,Ever in my days,,,
line,49,desky dader,dyski dader.,To learn goodness.,,,
line,50,rag agis benneth[ow] why,Rag agas bennathow hwi,For your blessings,,,
line,51,yv moy treasur ʒymmo vy,yw moy tresor dhymmo vy,Are a treasure to me,,,
line,52,es pyth an bysma neb vr,es pyth an bys ma neb eur.,Than the wealth of this world any time.,,,
blank,,,,,,,
speaker,,PATER 53,Pater,FATHER,,,
line,53,Ov mab wek ʒys benneth du,"Ow mab hweg, dhis bennath Dyw,","My sweet son, God's blessing to thee,",,,
line,54,ham benneth vy benyʒa,"ha'm bennath vy bynytha,","And my blessing ever,",,,
line,55,ny fylleth hedre ven bev,ny fyllydh hedra ven byw,Thou shalt not fail whilst I may be alive,,,
line,56,ath porpos gene neffra,a'th porpos genev nevra.,Of thy purpose by me always.,,,
line,57,lemmen squyer,"Lemmyn skwier,","Now squire,",,,
line,58,keʒegy gans ov map dy,ke dhejy gans ow mab di,"Go thou with my son thither,",,,
line,59,ha gveyth warnotho defry,ha gwith warnodho devri.,And take care of him truly.,,,
line,60,ena ty a yl dysky,"Ena ty a yll dyski,","There thou canst learn,",,,
line,61,martegen the vrys mur dader,"martesen dha vrys, meur dhader.","If it be thy wish, much of goodness.",,,
blank,,,,,,,
speaker,,MATER 62,Mater,MOTHER,,,
line,62,Ov map benneth varya,"Ow mab, bennath Maria","My son, Mary's blessing",,,
line,63,dys ham bennath vy neffra,dhis ha'm bennath vy nevra.,To thee and my blessing for ever.,,,
line,64,thethe ganov mannafi amma,Dhe'th hanow mynnav amma:,Thy mouth I would kiss it:,,,
line,65,ewne yv ʒyn ʒeth leuf kara,"ewn yw dhyn dhe'th leuv kara,","Right is it for us to love thee dearly,",,,
line,66,meryasek wek,Meryasek hweg.,Sweet Meriasek.,,,
line,67,my a dryst yn du avan,My a drest yn Dyw a-vann,I trust in God above,,,
line,68,pan ven ny sur coth ha gwan,pan ven ni sur koth ha gwann,When we shall be [surely] old and feeble,,,
line,69,gvreth agan revlys tek,gwredh agan rewlys teg.,Thou wilt observe our rules fair.,,,
blank,,,,,,,
speaker,,ARMIGER DUCIS 70,Armiger ducis,THE DUKE'S SQUIRE,,,
line,70,Meryasek alemma duen,"Meryasek, alemma deun.","Meriasek, let us go hence.",,,
line,71,gervyth a scryve pluven,Ger vydh a skrifa pluvenn,Never a word of pen-writing,,,
line,72,whath me ny won ʒe redya,"hwath my ny wonn dhe redya,",Yet can I read.,,,
line,73,nag aswen ov leʒerow,nag aswonn ow lytherow.,I know [Nor know I] not my letters.,,,
line,74,me a bys du karadow,"My a bys Dyw karadow,","I beseech loveable God,",,,
line,75,roy ʒynny ynta spedya,Roy dhyn ni yn ta spedya.,May he grant to us well to speed.,,,
blank,,,,,,,
stage,,Hic magister pompabit,Hic magister pompabit.,Here shall the Master parade.,,,
blank,,,,,,,
speaker,,MAGISTER 76,Magister,MASTER,,,
line,76,My yv mayster a gramer,My yw mester a ramer,I am a master of grammar,,,
line,77,gvrys yn bonilapper,gwrys yn Bonilapper -,Made in …........ (?),,,
line,78,vniversite vyen,universyta vyghan.,Of a small university.,,,
line,79,my a wor mur yn dyvyn,My a woer meur yn devynn:,I know much in citation:,,,
line,80,pan ve luen ov ʒor a wyn,pan ve leun ow thorr* a win,When my tot may be full of wine,,,
line,81,ny gara covs mes laten,ny garav kows mes Latin.,I love not to speak (aught) save Latin.,,,
blank,,,,,,,
speaker,,PRIMUS NUNCIUS 82,Primus nuntius,FIRST MESSENGER,,,
line,82,Honour ʒyvgh master worthy,"Enor dhywgh, mester wordhi","Honour to you, worthy Master",,,
line,83,ha benytha mur reuerens,ha bynytha meur revrons.,And ever much reverence.,,,
line,84,duk conan pur yredy,Dug Konan pur yredi,Duke Conan right readily,,,
line,85,y vab rag cawas dyskans,y vab rag kavoes dyskans,His son to have learning,,,
line,86,sur danvenys,sur dannvenys.,Surely hath sent.,,,
line,87,ateva ʒyugh doctor wek,"Ottava dhywgh, doktour hweg.","Here he is for you, doctor sweet.",,,
line,88,dyskovgh ef yn maner dek,"Dyskewgh ev yn maner deg,","Teach him in a beautiful way,",,,
line,89,ha wy a vyth rewardeys,ha hwi a vydh rewardys.,And you shall be rewarded.,,,
blank,,,,,,,
speaker,,MAGISTER 90,Magister,MASTER,,,
line,90,Messeger na ʒovt an cas,"Messejer, na dhout an kas.","Messenger, fear not the case.",,,
line,91,my an dysk na vo yn gvlas,My a'n dysk na vo y'n wlas,I will teach him so that there will not be in the country,,,
line,92,gramarion v#t# ay parov,gramaryon vydh a'y barow.,Any grammarian of his peers.,,,
line,93,devgh seʒovg mereasek,"Dewgh, sedhewgh, Meryasek,","Come, sit ye, Meriasek,",,,
line,94,yn myske an flehys pur dek,"yn mysk an fleghes pur dheg,","Amongst the children very fairly,",,,
line,95,ha merovgh agis leffrov,ha mirewgh agas lyvrow.,And look at your books.,,,
line,96,pe dyth munys kewsovghwy,Py dyth munys kewsewgh hwi.,"If it be a little saying that ye speak,",,,
line,97,let veth orth agis dysky,"Lett vydh orth agas dyski,","There will be hindrance to teaching you,",,,
line,98,ha mur nynsyv an gobrov,ha meur nyns yw an gobrow.,And the rewards are not great.,,,
blank,,,,,,,
speaker,,PRIMUS SCOLAR[IS] 99,Primus scolaris,FIRST SCHOLAR,,,
line,99,Du gveras a b c,"Dyw gweres A B C, -","God keep A, B, C,",,,
line,100,an pen can henna yv d,"an penn kan, henna yw D.","The end of the song, that is D.",,,
line,101,ny won na moy yn liuer,Ny wonn na moy y'n lyver.,I know no more in the book.,,,
line,102,ny vef yn scole rum levte,"Ny veuv yn skol, re'm lowta,","I was not at school, by my loyalty,",,,
line,103,bys ynnewer gorʒewar,bys yn n'ewer gorthugher.,Until late (?) yesterday evening.,,,
line,104,ʒum gothvas wosa lyfye,"Dhe'm godhvos, wosa livya","To my knowledge, after dining",,,
line,105,me a ʒysk moy ov mester,"my a dhysk moy, ow mester.","I will learn more, my master.",,,
blank,,,,,,,
speaker,,SECUNDUS SCOLAR[IS] 106,Secundus scolaris,SECOND SCHOLAR,,,
line,106,E s t henna yv est,"E, S, T, henna yw est.","E, s, t, that is est.",,,
line,107,pandryv nessa ny won fest,Pandr'yw nessa ny wonn fest.,What thing is next I know not quite.,,,
line,108,mur na reugh ov cronkye,"Meur na wrewgh ow kronkya,","Do not beat me greatly,",,,
line,109,rag my ny veʒaf the well,rag my ny vydhav dhe well.,For I shall not be [the] better.,,,
line,110,vnwyth a caffen hansell,Unnweyth a kaffen hansel,Once if I got a handsel,,,
line,111,me a russa amendie,my a wrussa amendya.,I should amend.,,,
blank,,,,,,,
speaker,,MAGISTER 112,Magister,MASTER,,,
line,112,Dyske moy gans ʒe coweʒa,Dysk moy gans dha gowetha.,Learn thou more with thy comrades.,,,
line,113,pan vynnogh eugh ʒe lyvya,"Pan vynnowgh, ewgh dhe livya,","When you will, go to dine,",,,
line,114,meryasek wek eugh gansa,"Meryasek hweg, ewgh gansa,","Sweet Meriasek, go with them,",,,
line,115,rag wy yv tender yn oys,"rag hwi yw tender yn oes,","For you are tender in age,",,,
line,116,ha flehys yonk a gar boys,"ha fleghes yo'nk a gar boes,","And young children love food,",,,
line,117,ham bevnans vy yv henna,ha'm bywnans vy yw henna.,And my life is that.,,,
blank,,,,,,,
speaker,,MERIADOCUS 118,Meriadocus,MERIASEK,,,
line,118,Me a lever ʒyvgh mester,"My a lever dhywgh, Mester,","I say to you, Master,",,,
line,119,ha na vewy dysplesys,"ha na vewgh hwi displesys,","And be not [you should not be] displeased,",,,
line,120,heʒyv sur yv dugwener,hedhyw sur yw dy' Gwener:,Today surely is Friday:,,,
line,121,da yv sevell worth vn pris,da yw sevel worth unn prys,Good it is to arise for a while,,,
line,122,ha predery an ena,ha prederi a'n ena.,And think of the soul.,,,
line,123,rag kerensa an passyonn,Rag kerensa an passhyon,For love of the Passion,,,
line,124,a porthes ihesu ragan,"a borthas Yesu ragon,",Which Jesu bore for us.,,,
line,125,pynys hyʒyv y fanna,"penys hedhyw y fynna,",Penance today I desire.,,,
blank,,,,,,,
line,126,Ha pub gvener,"Ha pub Gwener,","And every Friday,",,,
line,127,a vo sur drys an vlyʒan,"a vo sur dres an vlydhen,","Which shall be surely throughout the year,",,,
line,128,gul peyadov my a vyn,"gul pysadow my a vynn,","Make prayer I will,",,,
line,129,kyns eva na ʒybbry mevr,kyns eva na dhybri meur.,Rather than eat or drink much.,,,
blank,,,,,,,
line,130,ʒen chappell me a vyn mois,"Dhe'n chapel my a vynn mos,","To the chapel I will go,",,,
line,131,ʒe crist a scolyas y woys,"dhe Krist a skoellyas y woes,","To Christ who shed his blood,",,,
line,132,ʒe vʒyll ov peiadow,"dhe wuthyl ow pysadow,","To make my prayer,",,,
line,133,ha ʒe varye y vam,"ha dhe Varia y vamm,","And to Mary his Mother,",,,
line,134,kyns eva na dybbry tam,kyns eva na dybri tamm:,Before drinking or eating a bit:,,,
line,135,helma yv ov vsadow,hemma yw ow usadow.,This is my usage.,,,
blank,,,,,,,
speaker,,MAGISTER 136,Mester,MASTER,,,
line,136,Ov map gvra ʒe vlonogeth,"Ow mab, gwra dha volonjedh.","My son, do thy will.",,,
line,137,tevlys os ʒe sansoleth,"Tewlys os dhe sansoleth,","Designed art thou for holiness,",,,
line,138,meriasek gon gvyr lemmyn,"Meryasek, gonn gwir lemmyn.","Meriasek, I know truly now.",,,
line,139,ke ha dus pan vy plesyes,Ke ha deus pan vi plesyes.,Go and come when thou mayest be pleased.,,,
line,140,myns may hyllen sur esyes,Myns may hyllen sur esyes,"All we can, surely eased",,,
line,141,ty a vyth yn pup termyn,ty a vydh yn pub termyn.,Thou shalt be at every time.,,,
blank,,,,,,,
stage,,descendat solus aapellam,,Let him go down alone to the chapel.,,,
blank,,,,,,,
speaker,,MERIADOCUS,,MERIASEK,,,
line,142,in capella,Meriadocus in capella,in the chapel,,,
line,143,Ihesu arlud nef han bys,"Yesu, Arloedh nev ha'n bys,","Jesu, Lord of heaven and the world,",,,
line,144,ʒys y raf ov peyadow,dhis y hwrav ow pysadow.,To thee I make my prayer.,,,
line,145,iesu arlud my ad pys,"Yesu, Arloedh, my a'th pys","Jesu, Lord, I beseech thee",,,
line,146,orth temtacyon dewolow,orth temptashyon dewolow.,Against devils' temptations. [temptation],,,
line,147,iesu crist gvyth vy pupprys,"Yesu Krist, gwith vy pup-prys","Jesu Christ, Keep me always",,,
line,148,lel ʒeth servye om dyʒyow,lel dhe'th servya y'm dydhyow.,Loyally to serve thee in my days.,,,
line,149,ihesu ov corfe ham spyrys,"Yesu, ow horf ha'm spyrys,","Jesu, my body and my spirit,",,,
line,150,ol ov nerth ham cowgegyow,oll ow nerth ha'm kowsesyow,All my strength and my thoughts,,,
line,151,rof ʒeth gorthye,"rov dhe'th wordhya,","I give to worship thee,",,,
line,152,hag ath peys vvel ha clour,"hag a'th pys, uvel ha klor,","And I pray thee, humble and pure, [humbly and gently]",,,
line,153,nefra na veua yn nor,nevra na veva yn nor,That I never be on earth,,,
line,154,trelyes ʒe lust an bysme,trelyes dhe lust an bys ma.,Turned to the lust of this world.,,,
blank,,,,,,,
line,155,Marya myʒternas nef,"Maria, Myghternes nev,","Mary, queen of heaven,",,,
line,156,a vagas crist gans ʒe leth,"a vagas Krist gans dha leth,","Who fed Christ with thy milk,",,,
line,157,maria drefa ʒe luef,"Maria, dreva dha leuv","Mary, upraise (?) thy hand",,,
line,158,ʒen mab a skyentoleth,dhe'n Mab a skientoleth!,To the child of knowledge!,,,
line,159,marya whek peys genef,"Maria hweg, pys genev","Mary sweet, pray with me",,,
line,160,byth nangeffa an iovl keth,bydh na'n jeva an jowl keth,That never may the caitiff Devil have,,,
line,161,warnaf power 161,"warnav power,","Power over me,",,,
line,162,nan beys ov escare arall,"na'n bys, ow eskar arall,","Nor the world, my other enemy,",,,
line,163,ham kyke yv escar teball,"ha'm kyg yw eskar tebel,","And my flesh is an evil enemy,",,,
line,164,pur ysel me an temper,pur isel my a'n temper,Full low I will tame it,,,
blank,,,,,,,
line,165,gans golyas ha gans pynys,gans goelyas ha gans penys.,With watching and with penance.,,,
line,166a,me a garsa,My a garsa,I would like,,,
line,166b,crist ʒe plesya,Krist dhe blesya,To please Christ,,,
line,167,a new#t# hag a henys,a neweth hag a henys.,In youth and in old age.,,,
blank,,,,,,,
stage,,et tunc ad magistrum,,[And then to the Master.],,,
stage,,Hic pompabit rex conanus,Hic pompabit rex Conanus,[Here King Conan shall parade.],,,
blank,,,,,,,
speaker,,REX CONANUS 168,Rex Conanus,KING CONAN,,,
line,168,Gelwys yʒof conanus,"Gelwys yth ov Konanus,","I am called Conany,",,,
line,169,mytern yn bryton vyan,myghtern yn Breten Vyghan;,King in little Britain;,,,
line,170,han gvlascor pur yredy,ha'n gwlaskor pur yredi,And in the country right readily,,,
line,171,me a bev ol yn tyan,my a biw oll yn tien.,I possess altogether.,,,
line,172,Der avys ov arlyʒy,Der avis ow arlydhi,By advice of my lords,,,
line,173,mones y fannaf lemmyn,mones y fynnav lemmyn,I would go now,,,
line,174,the duk pen an chevalry,"dhe dhug penn an chevalri,","To the Duke, head of chivalry,",,,
line,175,nesse ʒymmo yn certan,nessa dhymmo yn sertan,Next to me certainly,,,
line,176,par del yv ef,par dell yw ev.,As he is.,,,
line,177,yma maryag galosek,Yma maryaj galloesek,There is a mighty marriage,,,
line,178,cowsys ʒyn rag meryasek,kewsys dhyn rag Meryasek.,Spoken of to us for Meriasek.,,,
line,179,mergh ʒe vyghtern gallosek,Myrgh dhe vyghtern galloesek.,A daughter to a mighty sovran.,,,
line,180,nynses brassa yndan nef,Nyns eus brassa yn-dann nev.,There is not a greater under heaven.,,,
blank,,,,,,,
speaker,,PRIMUS DOMINUS 181,Primus Dominus,FIRST LORD.,,,
line,181,Maryasek yv flogh fur,Meryasek yw flogh fur:,Meriasek is a wise child :,,,
line,182,cortis hag vvel yn sur,kortes hag uvel yn sur,Courteous and humble surely,,,
line,183,drys oll flehys an powma,dres oll fleghes an pow ma.,Beyond all the children of this country.,,,
line,184,my a lever arlud flour,"My a lever, arloedh flour,","I say, flower of lords,",,,
line,185,y terfensa myrgh emperour,y tervynnsa myrgh emp'rour,He would deserve an emperor's daughter,,,
line,186,ʒe par kefis mara peya,"dh'y bar, kevys mar pe-a.","For his mate, if she were found.",,,
blank,,,,,,,
speaker,,SECUNDUS DOMINUS REGIS 187,Secundus Dominus Regis,SECOND KING'S LORD.,,,
line,187,Meriasek yv kerys,"Meryasek yw kerys,","Meriasek is loved,",,,
line,188,anotha y ma notyes,anodho yma notyes,188 Of him is noted,,,
line,189,mur a ʒadder yn povma,meur a dhader y'n pow ma.,Much of goodness in this country.,,,
line,190,me a leuer ʒyvgh heb flows,"My a lever dhywgh, heb flows,","I say to you, without a flout,",,,
line,191,ay cow#t# ny clowys cows,"a'y goweth ny glywis kows,",Of his comrade I never heard tell.,,,
line,192,moy gracyus flogh yn bysma,moy grassyes flogh y'n bys ma!,192 The most gracious child in this world !,,,
blank,,,,,,,
stage,,[finit,,,,,
speaker,,MERIADOCUS 193,Meriadocus,MERIASEK.,,,
line,193,Me agis pesse mester,"My a'gas pyssa, Mester,","I would beseech you, Master,",,,
line,194,mar a pewy sur plesijs,"mara pewgh hwi sur plesyes,","If you would be surely pleased,",,,
line,195,mones ʒe dre heb awer,mones dhe dre heb ahwer,To [let me] go home without sorrow,,,
line,196,ʒe vyras on ʒas vskys,dhe vires ow thas uskis,196 To see my father forthwith,,,
line,197,hav mam kefrys,ha'w mamm keffrys.,And my mother likewise.,,,
line,198,bedneth ʒyvgh am vestrigy,Bennath dhywgh a'n vestrysi!,A blessing to you for my schooling !,,,
blank,,,,,,,
line,199,me a yl lour y bysy,My a yll lowr y bysi.,I can enough beseech it.,,,
line,200,genovgh tek yʒof dyskys,Genowgh teg yth ov dyskys.,200 By you well am I taught.,,,
blank,,,,,,,
speaker,,MAGISTER 201,Magister,MASTER.,,,
line,201,Banneth crist ʒys meriasek,"Bennath Krist dhis, Meryasek.","Christ's blessing to thee, Meriasek.",,,
line,202,ham benneth pur colonnek,Ha'm bennath pur golonnek.,And my blearing right hearty.,,,
line,203,luen os a a venegycter,Leun os a vennesikter.,Full art thou of blessedness.,,,
line,204,yn ov scole ny ve bythqueth,Yn ow skol ny veu bythkweyth,204 In my school never was there,,,
line,205,ʒyso gy purwyre cowyth,dhiso jy pur wir koweth,To thee [right] truly a comrade,,,
line,206,yn discans nag yn dader,yn dyskans nag yn dader.,In learning nor in goodness.,,,
blank,,,,,,,
stage,,descendit cum armigero et redit ad patrem,,[He goes down with the squire and returns to his father. ],,,
speaker,,MERIADOCUS 207,Meriadocus,MERIASEK.,,,
line,207,Lowena ʒum tas worthy,"Lowena dhe'm tas wordhi,","Joy to my worthy father,",,,
line,208,ha reuerens bys bynyʒa,ha revrons bys bynytha!,208 And reverence for ever !,,,
line,209,lowena ʒum mam defry,"Lowena dhe'm mamm devri,","Joy to my mother truly,",,,
line,210,enour ha dader neffra,enor ha dader nevra!,Honour and goodness [ever > always] !,,,
line,211,pesef agys leun vanneth,Pysav agas leun bennath.,I beseech your full blessing.,,,
line,212,lemmyn grace an spyrys sans,Lemmyn gras an Spyrys Sans,212 Now the grace of the Holy Ghost,,,
line,213,re woloways ov skyans,re wolowas ow skians.,"Hath enlightened my knowledge,",,,
line,214,yma ʒym perfect dyskans,"Yma dhymm perfekt dyskans,","I have perfect learning,",,,
line,215,grac the crist pen an eleth,gras dhe Krist penn an eledh.,Thanks to Christ the head of the angels.,,,
blank,,,,,,,
speaker,,PATER 216,Pater,FATHER.,,,
line,216,Meryasek welcum yn tre,"Meryasek, wolkomm yn tre","216 Meriasek, welcome home,",,,
line,217,ham luen vanneth y rof ʒys,ha'm leun vennath a rov dhis.,And my full blessing I give to thee.,,,
line,218,mar kyssys ynta spedie,Mar kessys yn ta spedya,If thou leftest to speed well,,,
line,219,me yv sur ʒe well plesijs,my yw sur dhe well plesyes,I am surely the better pleased,,,
line,220,an keth trana,a'n keth tra na.,220 Of that same thing.,,,
line,221,marrogyon parusugh wy,"Marghogyon, pareusewgh hwi.","Knights, prepare you.",,,
line,222,haneth omma yredy,Haneth omma yredi,To-night here readily,,,
line,223,mytern connan sur a thua,Myghtern Konan sur a dheu-a.,King Conan will [surely] come.,,,
blank,,,,,,,
speaker,,MATER 224,Mater,MOTHER.,,,
line,224,Meriasek bedneth crist ʒys,"Meryasek, bennath Krist dhis,","224 Meriasek, Christ's blessing to thee,",,,
line,225,ha bedneth ʒe vam neffra,ha bennath dha vamm nevra.,And thy mother's blessing ever.,,,
line,226,gvyf os the vos welcummys,"Gwiw os dhe vos wolkommys,","Worthy art thou to be welcomed,",,,
line,227,hag enoris gans henna,hag enorys gans henna,And honoured therewithal,,,
line,228,rag ʒe ʒadder,rag dha dhader.,228 For thy goodness.,,,
line,229,ahanas vs ʒyn cowsys,"Ahanas eus dhyn kewsys,","Of thee it is told to us,",,,
line,230,du asota mur presijs,"Dyw, ass o'ta meur braysyes","Pardie, that [how] thou art much praised",,,
line,231,dres ol breton heb awer,"dres oll Breten, heb ahwer!","Throughout all Brittany, without grief.",,,
blank,,,,,,,
speaker,,CONANUS REX,Conanus rex ad ducem.,KING CONAN to the Duke.,,,
stage,,ad ducem,,,,,
line,232,Reuerens ʒyvg ser duk worthy,"Revrons dhywgh, syrr Dug wordhi,","232 Reverence to you, worthy Sir Duke.",,,
line,233,par del ovgh corf a galloys,par dell owgh korf a alloes.,As you are a body of might.,,,
line,234,me redeth omma defry,"My re dheuth omma devri,","I have come here indeed,",,,
line,235,drefen agen bos vnwoys,"drefenn agan bos unnwoes,","Because of our being one blood,",,,
line,236,ʒe kestalkye,dhe gestalkya.,236 To talk together.,,,
line,237,lowena ʒyvgh arlothes,"Lowena dhywgh, arloedhes,","Joy to you, lady,",,,
line,238,ha ʒen map ker vs genes,"ha dhe'n mab ker eus genes,","And to the dear son that is with thee,",,,
line,239,meryasek ov goys nesse,"Meryasek, ow goes nessa!","Meriasek, my nearest blood !",,,
blank,,,,,,,
speaker,,PATER MEREADOCI 240,Pater Meriadoci,MERIASEK' S FATHER.,,,
line,240,Wolcum ogh ov lyche worʒy,"Wolkomm owgh, ow lij wordhi!","240 Welcome are you, my worthy liege !",,,
line,241,wolcum ogh omma deffry,"Wolkomm owgh omma devri,","Welcome are you here indeed,",,,
line,242,wy hag ol agis pobell,hwi hag oll agas pobel.,You and all your people.,,,
line,243,ʒe lowenna rag blythan,Dhe lowenna rag blydhen,The gladder for a year,,,
line,244,me a vyth yn pur certan,my a vydh yn pur sertan,244 I shall be very certainly,,,
line,245,agis gvelas om castell,a'gas gweles y'm kastell.,To see you in my castle.,,,
blank,,,,,,,
speaker,,MATER MEREADOCI 246,Mater Meriadoci,MERIASEK'S MOTHER.,,,
line,246,Welcum ogh agan soueran,"Wolkomm owgh, agan sov'ran,","Welcome are you, our sovran,",,,
line,247,yn keth plassma pur certan,y'n keth plas ma pur sertan,In this same place [palace] very certainly,,,
line,248,plesijs one agis gwlelas (gwelas),plesyes on a'gas gweles.,248 Pleased are we to see you.,,,
line,249,welcumma ma (welcumma) den benary,Wolkomma den bynari,More welcome man never,,,
line,250,nefre ny ʒue yn ov chy,nevra ny dheu yn ow chi,"Will come into my house,",,,
line,251,kynteffov ʒas am denes,kyn teff' ow thas a'm denas.,Though may come my father that reared me.,,,
blank,,,,,,,
speaker,,MEREADOCUS 252,Meriadocus,MERIASEK.,,,
line,252,Welcum omma lych ryall,"Wolkomm omma, lij ryal,","252 Welcome here, royal liege,",,,
line,253,del ogh pen ha princypall,dell owgh penn ha prynsipal,As you are head and principal,,,
line,254,dreson ny ol yn tyan,dreson ni oll yn tien,Over us altogether,,,
line,255,worthy rag cawas reuerens,wordhi rag kavoes revrons,Worthy to receive reverence,,,
line,256,drefen agis governens,drefenn agas governans,256 Because of your governance,,,
line,257,rewlys on brays ha byan,"rewlys on, bras ha byghan.","Ruled are we, great and small.",,,
blank,,,,,,,
speaker,,REX CONANUS 258,Rex Conanus,KING CONAN.,,,
line,258,Gramercy ʒywy warbarth,Gromersi dhy'hwi warbarth!,Gramercy to you altogether !,,,
line,259,my a vyn kyns es dybarth,My a vynn kyns es dibarth,I will before separating,,,
line,260,muvye omma certan tra,"movya omma sertan tra,","260 Move here a certain thing,",,,
line,261,rag dader hag honester,rag dader hag onester,"For goodness and decency,",,,
line,262,ʒe varyasek heb awer,"dhe Veryasek, heb ahwer,","To Meriasek, without grief,",,,
line,263,ow goys nessa,ow goes nessa.,My nearest blood.,,,
blank,,,,,,,
speaker,,PATER MEREADOCI DUX 264,Pater Meriadoci Dux,MERIASEK'S FATHER THE DUKE.,,,
